Player Name,OVR,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICALITY,Position,Age,Foot,Height,League,Nation,Team,Weight
Kylian Mbappé,91,97,90,80,92,36,78,ST,24,Right,18,Ligue 1 Uber Eats,France,Paris SG,75
Alexia Putellas,91,82,90,91,92,72,78,CM,29,Left,17,Liga F,Spain,FC Barcelona,67
Erling Haaland,91,89,93,66,80,45,88,ST,23,Left,19,Premier League,Norway,Manchester City,94
Kevin De Bruyne,91,72,88,94,87,65,78,CM,32,Right,18,Premier League,Belgium,Manchester City,75
Aitana Bonmatí,90,81,84,83,91,75,73,CM,25,Right,16,Liga F,Spain,FC Barcelona,51
Lionel Messi,90,80,87,90,94,33,64,CF,36,Left,16,MLS,Argentina,Inter Miami CF,67
Sam Kerr,90,85,88,74,90,42,85,ST,30,Right,16,Barclays WSL,Australia,Chelsea,66
Karim Benzema,90,79,88,83,87,39,78,CF,35,Right,18,ROSHN Saudi League,France,Al Ittihad,81
Thibaut Courtois,90,85,89,76,93,46,90,GK,31,Left,19,LALIGA EA SPORTS,Belgium,Real Madrid,96
Harry Kane,90,69,93,84,83,49,83,ST,30,Right,18,Bundesliga,England,FC Bayern München,89
Caroline Graham Hansen,90,89,86,88,90,47,75,RW,28,Right,17,Liga F,Norway,FC Barcelona,66
Robert Lewandowski,90,75,91,80,87,44,84,ST,35,Right,18,LALIGA EA SPORTS,Poland,FC Barcelona,81
Mohamed Salah,89,89,87,81,88,45,76,RW,31,Left,17,Premier League,Egypt,Liverpool,71
Kadidiatou Diani,89,89,85,83,88,56,77,RW,28,Right,16,D1 Arkema,France,OL,64
Mapi León,89,75,74,81,76,90,81,CB,28,Left,16,Liga F,Spain,FC Barcelona,59
Rúben Dias,89,62,39,66,69,89,87,CB,26,Right,18,Premier League,Portugal,Manchester City,82
Vini Jr.,89,95,82,78,90,29,68,LW,23,Right,17,LALIGA EA SPORTS,Brazil,Real Madrid,73
Rodri,89,58,73,80,80,85,84,CDM,27,Right,19,Premier League,Spain,Manchester City,82
Neymar Jr,89,86,83,85,93,37,61,LW,31,Right,17,ROSHN Saudi League,Brazil,Al Hilal,68
Alex Morgan,89,83,89,80,88,47,77,ST,34,Left,16,NWSL,United States,San Diego Wave,62
Marc-André ter Stegen,89,86,85,89,91,47,86,GK,31,Right,18,LALIGA EA SPORTS,Germany,FC Barcelona,85
Virgil van Dijk,89,78,60,71,72,89,86,CB,32,Right,19,Premier League,Holland,Liverpool,92
Alisson,89,86,85,85,89,56,90,GK,31,Right,19,Premier League,Brazil,Liverpool,91
Ada Hegerberg,89,75,89,77,86,39,76,ST,28,Right,17,D1 Arkema,Norway,OL,68
Casemiro,89,63,75,79,73,89,88,CDM,31,Right,18,Premier League,Brazil,Manchester Utd,84
Irene Paredes,88,69,51,67,68,89,80,CB,32,Right,17,Liga F,Spain,FC Barcelona,62
Bruno Fernandes,88,71,86,90,83,69,77,CAM,29,Right,17,Premier League,Portugal,Manchester Utd,69
Wendie Renard,88,53,67,69,69,91,84,CB,33,Right,18,D1 Arkema,France,OL,70
Antoine Griezmann,88,80,88,87,88,58,75,ST,32,Left,17,LALIGA EA SPORTS,France,Atlético de Madrid,73
Victor Osimhen,88,90,86,66,83,42,82,ST,24,Right,18,Serie A TIM,Nigeria,Napoli FC,78
Alexandra Popp,88,73,87,76,82,52,88,ST,32,Left,17,GPFBL,Germany,VfL Wolfsburg,65
Debinha,88,84,81,87,91,46,68,CAM,32,Right,15,NWSL,Brazil,KC Current,52
Bernardo Silva,88,69,78,86,92,70,69,CM,29,Left,17,Premier League,Portugal,Manchester City,64
Federico Valverde,88,88,82,84,84,80,82,CM,25,Right,18,LALIGA EA SPORTS,Uruguay,Real Madrid,78
Sophia Smith,88,93,85,78,88,45,82,ST,23,Right,16,NWSL,United States,Portland Thorns,58
Ederson,88,86,82,91,86,64,86,GK,30,Left,18,Premier League,Brazil,Manchester City,86
Guro Reiten,88,88,80,86,86,60,63,LW,29,Left,16,Barclays WSL,Norway,Chelsea,60
Joshua Kimmich,88,70,74,88,84,82,79,CDM,28,Right,17,Bundesliga,Germany,FC Bayern München,75
Jan Oblak,88,85,90,78,87,46,86,GK,30,Right,18,LALIGA EA SPORTS,Slovenia,Atlético de Madrid,87
Christiane Endler,88,87,82,84,90,42,89,GK,32,Left,18,D1 Arkema,Chile,OL,73
Marie Katoto,88,83,88,77,84,39,71,ST,25,Right,17,D1 Arkema,France,Paris SG,66
Patri Guijarro,88,78,82,83,86,81,72,CM,25,Right,17,Liga F,Spain,FC Barcelona,64
Fridolina Rolfö,87,82,82,82,87,83,80,LB,30,Left,17,Liga F,Sweden,FC Barcelona,65
Luka Modrić,87,72,76,89,87,72,66,CM,38,Right,17,LALIGA EA SPORTS,Croatia,Real Madrid,66
Lucy Bronze,87,73,68,80,80,85,88,RB,32,Right,17,Liga F,England,FC Barcelona,65
Frenkie de Jong,87,82,69,86,87,77,78,CM,26,Right,18,LALIGA EA SPORTS,Holland,FC Barcelona,74
Lautaro Martínez,87,80,86,71,85,48,85,ST,26,Right,17,Serie A TIM,Argentina,Inter,72
Beth Mead,87,81,84,84,87,67,73,RW,28,Right,16,Barclays WSL,England,Arsenal,58
Ewa Pajor,87,85,89,63,89,21,69,ST,27,Right,16,GPFBL,Poland,VfL Wolfsburg,61
Martin Ødegaard,87,72,81,88,87,61,64,CAM,25,Left,17,Premier League,Norway,Arsenal,68
Mike Maignan,87,85,82,87,89,51,85,GK,28,Right,19,Serie A TIM,France,Milan,89
Lena Oberdorf,87,58,61,77,76,87,89,CDM,21,Right,17,GPFBL,Germany,VfL Wolfsburg,68
Lina Magull,87,81,74,84,86,57,68,CAM,29,Right,16,GPFBL,Germany,FC Bayern München,54
Marquinhos,87,78,56,75,74,89,80,CB,29,Right,18,Ligue 1 Uber Eats,Brazil,Paris SG,75
Gregor Kobel,87,86,84,74,89,44,85,GK,26,Right,19,Bundesliga,Switzerland,Borussia Dortmund,88
Heung Min Son,87,87,88,80,84,42,70,LW,31,Right,18,Premier League,Korea Republic,Spurs,78
Rose Lavelle,87,86,78,84,87,45,65,CAM,28,Left,16,NWSL,United States,OL Reign,56
Sandra Paños,87,86,82,84,89,56,87,GK,31,Right,16,Liga F,Spain,FC Barcelona,65
Gianluigi Donnarumma,87,90,82,79,89,52,83,GK,24,Right,19,Ligue 1 Uber Eats,Italy,Paris SG,90
Manuel Neuer,87,84,85,90,84,49,88,GK,37,Right,19,Bundesliga,Germany,FC Bayern München,93
Ousmane Dembélé,86,93,77,81,87,36,57,RW,26,Left,17,Ligue 1 Uber Eats,France,Paris SG,67
Selma Bacha,86,87,72,84,82,79,78,LB,23,Left,16,D1 Arkema,France,OL,58
Mary Earps,86,83,83,83,85,41,85,GK,30,Right,17,Barclays WSL,England,Manchester Utd,68
Bukayo Saka,86,85,81,79,87,60,70,RW,22,Left,17,Premier League,England,Arsenal,65
Jude Bellingham,86,76,75,79,85,78,82,CM,20,Right,18,LALIGA EA SPORTS,England,Real Madrid,75
Rafael Leão,86,93,80,75,87,27,76,LW,24,Right,18,Serie A TIM,Portugal,Milan,81
Pedri,86,78,69,82,88,70,74,CM,21,Right,17,LALIGA EA SPORTS,Spain,FC Barcelona,60
Lauren Hemp,86,90,76,84,87,63,68,LW,23,Left,16,Barclays WSL,England,Manchester City,59
Matthijs de Ligt,86,66,61,64,68,85,86,CB,24,Right,18,Bundesliga,Holland,FC Bayern München,89
Sandro Tonali,86,84,74,81,81,82,84,CDM,23,Right,18,Premier League,Italy,Newcastle Utd,79
Riyad Mahrez,86,79,81,81,89,38,60,RM,32,Left,17,ROSHN Saudi League,Algeria,Al Ahli,67
Grace Geyoro,86,77,72,82,82,83,78,CM,26,Right,16,D1 Arkema,France,Paris SG,61
Jamal Musiala,86,85,75,76,91,63,61,CAM,20,Right,18,Bundesliga,Germany,FC Bayern München,72
Nicolò Barella,86,78,78,82,85,78,80,CM,26,Right,17,Serie A TIM,Italy,Inter,68
Jill Roord,86,77,84,84,85,52,73,CAM,26,Right,17,Barclays WSL,Holland,Manchester City,63
Ronald Araujo,86,79,51,65,62,86,84,CB,24,Right,18,LALIGA EA SPORTS,Uruguay,FC Barcelona,79
Paulo Dybala,86,80,85,85,90,40,60,CF,30,Left,17,Serie A TIM,Argentina,Roma FC,75
İlkay Gündoğan,86,62,81,84,86,72,73,CM,33,Right,18,LALIGA EA SPORTS,Germany,FC Barcelona,80
Vivianne Miedema,86,82,85,70,86,32,81,ST,27,Right,17,Barclays WSL,Holland,Arsenal,65
Sergej Milinković-Savić,86,68,80,82,82,79,86,CM,28,Right,19,ROSHN Saudi League,Serbia,Al Hilal,95
Khvicha Kvaratskhelia,86,84,80,81,87,41,71,LW,22,Right,18,Serie A TIM,Georgia,Napoli FC,70
Andrew Robertson,86,80,61,82,81,81,77,LB,29,Left,17,Premier League,Scotland,Liverpool,64
Parejo,86,49,83,90,80,73,69,CM,34,Right,18,LALIGA EA SPORTS,Spain,Villarreal CF,74
